Player,Pos.,Date of birth,Caps,Goals,Club,Country
Miranda,DF,7 September 1984,46,2,Inter Milan,Brazil
Pedro Geromel,DF,21 September 1985,2,0,Grêmio,Brazil
Casemiro,MF,23 February 1992,23,0,Real Madrid,Brazil
Filipe Luís,DF,9 August 1985,32,2,Atlético Madrid,Brazil
Douglas Costa,FW,14 September 1990,24,3,Juventus,Brazil
Renato Augusto,MF,8 February 1988,28,5,Beijing Sinobo Guoan,Brazil
Gabriel Jesus,FW,3 April 1997,16,9,Manchester City,Brazil
Neymar,FW,5 February 1992,84,54,Paris Saint-Germain,Brazil
Philippe Coutinho,MF,12 June 1992,36,9,Barcelona,Brazil
Marcelo,DF,12 May 1988,53,6,Real Madrid,Brazil
Marquinhos,DF,14 May 1994,25,0,Paris Saint-Germain,Brazil
Danilo,DF,15 July 1991,17,0,Manchester City,Brazil
Paulinho,MF,25 July 1988,49,12,Barcelona,Brazil
Cássio,GK,6 June 1987,1,0,Corinthians,Brazil
Fernandinho,MF,4 May 1985,43,2,Manchester City,Brazil
Fred,MF,5 March 1993,8,0,Shakhtar Donetsk,Brazil
Willian,MF,9 August 1988,56,8,Chelsea,Brazil
Roberto Firmino,FW,2 October 1991,20,6,Liverpool,Brazil
Taison,FW,13 January 1988,7,1,Shakhtar Donetsk,Brazil
Fagner,DF,11 June 1989,4,0,Corinthians,Brazil
Ederson,GK,17 August 1993,1,0,Manchester City,Brazil
Keylor Navas,GK,15 December 1986,80,0,Real Madrid,Costa Rica
Johnny Acosta,DF,21 July 1983,68,2,Águilas Doradas,Costa Rica
Giancarlo González,DF,8 February 1988,69,2,Bologna,Costa Rica
Ian Smith,DF,6 March 1998,3,0,Norrköping,Costa Rica
Celso Borges,MF,27 May 1988,112,21,Deportivo La Coruña,Costa Rica
Óscar Duarte,DF,3 June 1989,38,2,Espanyol,Costa Rica
Christian Bolaños,MF,17 May 1984,80,6,Saprissa,Costa Rica
Bryan Oviedo,DF,18 February 1990,43,1,Sunderland,Costa Rica
Daniel Colindres,MF,10 January 1985,11,0,Saprissa,Costa Rica
Bryan Ruiz (captain),MF,18 August 1985,109,23,Sporting CP,Costa Rica
Johan Venegas,FW,27 November 1988,46,10,Saprissa,Costa Rica
Joel Campbell,FW,26 June 1992,76,15,Real Betis,Costa Rica
Rodney Wallace,MF,17 June 1988,30,4,New York City FC,Costa Rica
Randall Azofeifa,MF,30 December 1984,57,3,Herediano,Costa Rica
Francisco Calvo,DF,8 July 1992,37,4,Minnesota United,Costa Rica
Cristian Gamboa,DF,24 October 1989,67,3,Celtic,Costa Rica
Yeltsin Tejeda,MF,17 March 1992,50,0,Lausanne,Costa Rica
Patrick Pemberton,GK,24 April 1982,39,0,Alajuelense,Costa Rica
Kendall Waston,DF,1 January 1988,26,3,Vancouver Whitecaps FC,Costa Rica
David Guzmán,MF,18 February 1990,42,0,Portland Timbers,Costa Rica
Marco Ureña,FW,5 March 1990,63,15,Los Angeles FC,Costa Rica
Rónald Matarrita,DF,9 July 1994,23,2,New York City FC,Costa Rica
Leonel Moreira,GK,2 April 1990,9,0,Herediano,Costa Rica
Vladimir Stojković,GK,28 July 1983,80,0,Partizan,Serbia
Antonio Rukavina,DF,26 January 1984,46,0,Villarreal,Serbia
Duško Tošić,DF,19 January 1985,23,1,Beşiktaş,Serbia
Luka Milivojević,MF,7 April 1991,27,1,Crystal Palace,Serbia
Uroš Spajić,DF,13 February 1993,5,0,Anderlecht,Serbia
Branislav Ivanović,DF,22 February 1984,102,12,Zenit Saint Petersburg,Serbia
Andrija Živković,MF,11 July 1996,10,0,Benfica,Serbia
Aleksandar Prijović,FW,21 April 1990,8,1,PAOK,Serbia
Aleksandar Mitrović,FW,16 September 1994,36,13,Fulham,Serbia
Dušan Tadić,MF,20 November 1988,52,13,Southampton,Serbia
Aleksandar Kolarov (captain),DF,10 November 1985,75,10,Roma,Serbia
Predrag Rajković,GK,31 October 1995,7,0,Maccabi Tel Aviv,Serbia
Miloš Veljković,DF,26 September 1995,2,0,Werder Bremen,Serbia
Milan Rodić,DF,2 April 1991,1,0,Red Star Belgrade,Serbia
Nikola Milenković,DF,12 October 1997,2,0,Fiorentina,Serbia
Marko Grujić,MF,13 April 1996,7,0,Cardiff City,Serbia
Filip Kostić,MF,1 November 1992,22,2,Hamburger SV,Serbia
Nemanja Radonjić,FW,15 February 1996,2,0,Red Star Belgrade,Serbia
Luka Jović,FW,23 December 1997,1,0,Eintracht Frankfurt,Serbia
Sergej Milinković-Savić,MF,27 February 1995,3,0,Lazio,Serbia
Nemanja Matić,MF,1 August 1988,39,2,Manchester United,Serbia
Adem Ljajić,MF,29 September 1991,28,5,Torino,Serbia
Marko Dmitrović,GK,24 January 1992,2,0,Eibar,Serbia
Yann Sommer,GK,17 December 1988,35,0,Borussia Mönchengladbach,Switzerland
Stephan Lichtsteiner (captain),DF,16 January 1984,100,8,Juventus,Switzerland
François Moubandje,DF,21 June 1990,18,0,Toulouse,Switzerland
Nico Elvedi,DF,30 September 1996,6,0,Borussia Mönchengladbach,Switzerland
Manuel Akanji,DF,19 July 1995,7,0,Borussia Dortmund,Switzerland
Michael Lang,DF,8 February 1991,24,2,Basel,Switzerland
Breel Embolo,FW,14 February 1997,25,3,Schalke 04,Switzerland
Remo Freuler,MF,15 April 1992,10,0,Atalanta,Switzerland
Haris Seferović,FW,22 February 1992,51,12,Benfica,Switzerland
Granit Xhaka,MF,27 September 1992,62,9,Arsenal,Switzerland
Valon Behrami,MF,19 April 1985,79,2,Udinese,Switzerland
Yvon Mvogo,GK,6 June 1994,0,0,RB Leipzig,Switzerland
Ricardo Rodríguez,DF,25 August 1992,53,5,Milan,Switzerland
Steven Zuber,MF,17 August 1991,12,3,1899 Hoffenheim,Switzerland
Blerim Džemaili,MF,12 April 1986,65,9,Bologna,Switzerland
Gelson Fernandes,MF,2 September 1986,67,2,Eintracht Frankfurt,Switzerland
Denis Zakaria,MF,20 November 1996,10,0,Borussia Mönchengladbach,Switzerland
Mario Gavranović,FW,24 November 1989,14,5,Dinamo Zagreb,Switzerland
Josip Drmić,FW,8 August 1992,29,9,Borussia Mönchengladbach,Switzerland
Johan Djourou,DF,18 January 1987,74,2,Antalyaspor,Switzerland
Roman Bürki,GK,14 November 1990,9,0,Borussia Dortmund,Switzerland
Fabian Schär,DF,20 December 1991,39,7,Deportivo La Coruña,Switzerland
Xherdan Shaqiri,MF,10 October 1991,70,20,Stoke City,Switzerland
Manuel Neuer (captain),GK,27 March 1986,76,0,Bayern Munich,Germany
Marvin Plattenhardt,DF,26 January 1992,6,0,Hertha BSC,Germany
Jonas Hector,DF,27 May 1990,38,3,1. FC Köln,Germany
Matthias Ginter,DF,19 January 1994,18,0,Borussia Mönchengladbach,Germany
Mats Hummels,DF,16 December 1988,64,5,Bayern Munich,Germany
Sami Khedira,MF,4 April 1987,75,7,Juventus,Germany
Julian Draxler,MF,20 September 1993,44,6,Paris Saint-Germain,Germany
Toni Kroos,MF,4 January 1990,83,12,Real Madrid,Germany
Timo Werner,FW,6 March 1996,14,8,RB Leipzig,Germany
Mesut Özil,MF,15 October 1988,90,23,Arsenal,Germany
Marco Reus,FW,31 May 1989,31,9,Borussia Dortmund,Germany
Kevin Trapp,GK,8 July 1990,3,0,Paris Saint-Germain,Germany
Thomas Müller,MF,13 September 1989,91,38,Bayern Munich,Germany
Leon Goretzka,MF,6 February 1995,15,6,Schalke 04,Germany
Niklas Süle,DF,3 September 1995,11,0,Bayern Munich,Germany
Antonio Rüdiger,DF,3 March 1993,24,1,Chelsea,Germany
Jérôme Boateng,DF,3 September 1988,71,1,Bayern Munich,Germany
Joshua Kimmich,DF,8 February 1995,29,3,Bayern Munich,Germany
Sebastian Rudy,MF,28 February 1990,25,1,Bayern Munich,Germany
Julian Brandt,MF,2 May 1996,16,1,Bayer Leverkusen,Germany
İlkay Gündoğan,MF,24 October 1990,26,4,Manchester City,Germany
Marc-André ter Stegen,GK,30 April 1992,20,0,Barcelona,Germany
Mario Gómez,FW,10 July 1985,75,31,VfB Stuttgart,Germany
José de Jesús Corona,GK,26 January 1981,52,0,Cruz Azul,Mexico
Hugo Ayala,DF,31 March 1987,42,1,UANL,Mexico
Carlos Salcedo,DF,29 September 1993,20,0,Eintracht Frankfurt,Mexico
Rafael Márquez,DF,13 February 1979,144,18,Atlas,Mexico
Diego Reyes,DF,19 September 1992,55,1,Porto,Mexico
Jonathan dos Santos,MF,26 April 1990,31,0,LA Galaxy,Mexico
Miguel Layún,MF,25 June 1988,63,6,Sevilla,Mexico
Marco Fabián,FW,21 July 1989,38,9,Eintracht Frankfurt,Mexico
Raúl Jiménez,FW,5 May 1991,63,13,Benfica,Mexico
Giovani dos Santos,MF,11 May 1989,104,19,LA Galaxy,Mexico
Carlos Vela,FW,1 March 1989,68,18,Los Angeles FC,Mexico
Alfredo Talavera,GK,18 September 1982,27,0,Toluca,Mexico
Guillermo Ochoa,GK,13 July 1985,93,0,Standard Liège,Mexico
Javier Hernández,FW,1 June 1988,101,49,West Ham United,Mexico
Héctor Moreno,DF,17 January 1988,91,3,Real Sociedad,Mexico
Héctor Herrera,DF,19 April 1990,65,5,Porto,Mexico
Jesús Manuel Corona,MF,6 January 1993,35,7,Porto,Mexico
Andrés Guardado (captain),MF,28 September 1986,144,25,Real Betis,Mexico
Oribe Peralta,FW,12 January 1984,66,26,América,Mexico
Javier Aquino,MF,11 February 1990,53,0,UANL,Mexico
Edson Álvarez,DF,24 October 1997,12,1,América,Mexico
Hirving Lozano,FW,30 July 1995,27,7,PSV Eindhoven,Mexico
Jesús Gallardo,MF,15 August 1994,22,0,UNAM,Mexico
Kim Seung-gyu,GK,30 September 1990,33,0,Vissel Kobe,South Korea
Lee Yong,DF,24 December 1986,27,0,Jeonbuk Hyundai Motors,South Korea
Jung Seung-hyun,DF,3 April 1994,6,0,Sagan Tosu,South Korea
Oh Ban-suk,DF,20 May 1988,2,0,Jeju United,South Korea
Yun Young-sun,DF,4 October 1988,6,0,Seongnam FC,South Korea
Park Joo-ho,DF,16 January 1987,36,0,Ulsan Hyundai,South Korea
Son Heung-min,FW,8 July 1992,66,21,Tottenham Hotspur,South Korea
Ju Se-jong,MF,30 October 1990,10,1,Asan Mugunghwa,South Korea
Kim Shin-wook,FW,14 April 1988,49,10,Jeonbuk Hyundai Motors,South Korea
Lee Seung-woo,MF,6 January 1998,3,0,Hellas Verona,South Korea
Hwang Hee-chan,FW,26 January 1996,14,2,Red Bull Salzburg,South Korea
Kim Min-woo,DF,25 February 1990,19,1,Sangju Sangmu,South Korea
Koo Ja-cheol,MF,27 February 1989,67,19,FC Augsburg,South Korea
Hong Chul,DF,17 September 1990,14,0,Sangju Sangmu,South Korea
Jung Woo-young,MF,14 December 1989,29,1,Vissel Kobe,South Korea
Ki Sung-yueng (captain),MF,24 January 1989,101,10,Swansea City,South Korea
Lee Jae-sung,MF,10 August 1992,34,6,Jeonbuk Hyundai Motors,South Korea
Moon Seon-min,MF,9 June 1992,3,1,Incheon United,South Korea
Kim Young-gwon,DF,27 February 1990,52,2,Guangzhou Evergrande,South Korea
Jang Hyun-soo,DF,28 September 1991,50,3,FC Tokyo,South Korea
Kim Jin-hyeon,GK,6 July 1987,15,0,Cerezo Osaka,South Korea
Go Yo-han,DF,10 March 1988,19,0,FC Seoul,South Korea
Cho Hyun-woo,GK,25 September 1991,5,0,Daegu FC,South Korea
Robin Olsen,GK,8 January 1990,17,0,Copenhagen,Sweden
Mikael Lustig,DF,13 December 1986,65,6,Celtic,Sweden
Victor Lindelöf,DF,17 July 1994,20,1,Manchester United,Sweden
Andreas Granqvist (captain),DF,16 April 1985,71,6,Krasnodar,Sweden
Martin Olsson,DF,17 May 1988,43,5,Swansea City,Sweden
Ludwig Augustinsson,DF,21 April 1994,14,0,Werder Bremen,Sweden
Sebastian Larsson,MF,6 June 1985,99,6,Hull City,Sweden
Albin Ekdal,MF,28 July 1989,33,0,Hamburger SV,Sweden
Marcus Berg,FW,17 August 1986,56,18,Al Ain,Sweden
Emil Forsberg,MF,23 October 1991,35,6,RB Leipzig,Sweden
John Guidetti,FW,15 April 1992,20,1,Alavés,Sweden
Karl-Johan Johnsson,GK,28 January 1990,5,0,Guingamp,Sweden
Gustav Svensson,MF,7 February 1987,12,0,Seattle Sounders FC,Sweden
Filip Helander,DF,22 April 1993,4,0,Bologna,Sweden
Oscar Hiljemark,MF,28 June 1992,21,2,Genoa,Sweden
Emil Krafth,DF,2 August 1994,12,0,Bologna,Sweden
Viktor Claesson,MF,2 January 1992,21,3,Krasnodar,Sweden
Pontus Jansson,DF,13 February 1991,15,0,Leeds United,Sweden
Marcus Rohdén,MF,11 May 1991,11,1,Crotone,Sweden
Ola Toivonen,FW,3 July 1986,58,13,Toulouse,Sweden
Jimmy Durmaz,MF,22 March 1989,45,3,Toulouse,Sweden
Isaac Kiese Thelin,FW,24 June 1992,19,2,Waasland-Beveren,Sweden
Kristoffer Nordfeldt,GK,23 June 1989,8,0,Swansea City,Sweden
Thibaut Courtois,GK,11 May 1992,57,0,Chelsea,Belgium
Toby Alderweireld,DF,2 March 1989,73,3,Tottenham Hotspur,Belgium
Thomas Vermaelen,DF,14 November 1985,64,1,Barcelona,Belgium
Vincent Kompany,DF,10 April 1986,74,4,Manchester City,Belgium
Jan Vertonghen,DF,24 April 1987,101,8,Tottenham Hotspur,Belgium
Axel Witsel,MF,12 January 1989,86,9,Tianjin Quanjian,Belgium
Kevin De Bruyne,MF,28 June 1991,58,13,Manchester City,Belgium
Marouane Fellaini,MF,22 November 1987,80,17,Manchester United,Belgium
Romelu Lukaku,FW,13 May 1993,65,31,Manchester United,Belgium
Eden Hazard (captain),FW,7 January 1991,83,22,Chelsea,Belgium
Yannick Carrasco,MF,4 September 1993,24,5,Dalian Yifang,Belgium
Simon Mignolet,GK,6 March 1988,21,0,Liverpool,Belgium
Koen Casteels,GK,25 June 1992,0,0,VfL Wolfsburg,Belgium
Dries Mertens,FW,6 May 1987,66,13,Napoli,Belgium
Thomas Meunier,DF,12 September 1991,24,5,Paris Saint-Germain,Belgium
Thorgan Hazard,MF,29 March 1993,9,1,Borussia Mönchengladbach,Belgium
Youri Tielemans,MF,7 May 1997,7,0,Monaco,Belgium
Adnan Januzaj,FW,5 February 1995,8,0,Real Sociedad,Belgium
Mousa Dembélé,MF,16 July 1987,74,5,Tottenham Hotspur,Belgium
Dedryck Boyata,DF,28 November 1990,6,0,Celtic,Belgium
Michy Batshuayi,FW,2 October 1993,14,5,Borussia Dortmund,Belgium
Nacer Chadli,MF,2 August 1989,42,4,West Bromwich Albion,Belgium
Leander Dendoncker,DF,15 April 1995,4,0,Anderlecht,Belgium
Jordan Pickford,GK,7 March 1994,3,0,Everton,England
Kyle Walker,DF,28 May 1990,35,0,Manchester City,England
Danny Rose,DF,2 July 1990,18,0,Tottenham Hotspur,England
Eric Dier,MF,15 January 1994,26,3,Tottenham Hotspur,England
John Stones,DF,28 May 1994,26,0,Manchester City,England
Harry Maguire,DF,5 March 1993,5,0,Leicester City,England
Jesse Lingard,MF,15 December 1992,12,1,Manchester United,England
Jordan Henderson,MF,17 June 1990,39,0,Liverpool,England
Harry Kane (captain),FW,28 July 1993,24,13,Tottenham Hotspur,England
Raheem Sterling,FW,8 December 1994,38,2,Manchester City,England
Jamie Vardy,FW,11 January 1987,22,7,Leicester City,England
Kieran Trippier,DF,19 September 1990,7,0,Tottenham Hotspur,England
Jack Butland,GK,10 March 1993,8,0,Stoke City,England
Danny Welbeck,FW,26 November 1990,39,16,Arsenal,England
Gary Cahill,DF,19 December 1985,60,5,Chelsea,England
Phil Jones,DF,21 February 1992,25,0,Manchester United,England
Fabian Delph,DF,21 November 1989,11,0,Manchester City,England
Ashley Young,DF,9 July 1985,34,7,Manchester United,England
Marcus Rashford,FW,31 October 1997,19,3,Manchester United,England
Dele Alli,MF,11 April 1996,25,2,Tottenham Hotspur,England
Ruben Loftus-Cheek,MF,23 January 1996,4,0,Crystal Palace,England
Trent Alexander-Arnold,DF,7 October 1998,1,0,Liverpool,England
Nick Pope,GK,19 April 1992,1,0,Burnley,England
Jaime Penedo,GK,26 September 1981,131,0,Dinamo București,Panama
Michael Amir Murillo,DF,11 February 1996,22,2,New York Red Bulls,Panama
Harold Cummings,DF,1 March 1992,52,0,San Jose Earthquakes,Panama
Fidel Escobar,DF,9 January 1995,23,1,New York Red Bulls,Panama
Román Torres,DF,20 March 1986,111,10,Seattle Sounders FC,Panama
Gabriel Gómez,MF,29 May 1984,144,12,Atlético Bucaramanga,Panama
Blas Pérez,FW,13 March 1981,118,43,Municipal,Panama
Édgar Bárcenas,MF,23 October 1993,29,0,Tapachula,Panama
Gabriel Torres,FW,31 October 1988,72,14,Huachipato,Panama
Ismael Díaz,FW,12 May 1997,11,2,Deportivo Fabril,Panama
Armando Cooper,MF,26 November 1987,98,7,Universidad de Chile,Panama
José Calderón,GK,14 August 1985,31,0,Chorrillo,Panama
Adolfo Machado,DF,14 February 1985,76,1,Houston Dynamo,Panama
Valentín Pimentel,MF,30 May 1991,23,1,Plaza Amador,Panama
Erick Davis,DF,31 March 1991,38,0,Dunajská Streda,Panama
Abdiel Arroyo,FW,13 December 1993,33,5,Alajuelense,Panama
Luis Ovalle,DF,7 September 1988,25,0,Olimpia,Panama
Luis Tejada,FW,28 March 1982,105,43,Sport Boys,Panama
Ricardo Ávila,MF,4 February 1997,5,0,Gent,Panama
Aníbal Godoy,MF,10 February 1990,59,2,San Jose Earthquakes,Panama
José Luis Rodríguez,MF,19 June 1998,2,0,Gent,Panama
Álex Rodríguez,GK,5 August 1990,6,0,San Francisco,Panama
Felipe Baloy (captain),DF,24 February 1981,102,3,Municipal,Panama
Farouk Ben Mustapha,GK,1 July 1989,15,0,Al-Shabab,Tunisia
Syam Ben Youssef,DF,31 March 1989,41,1,Kasımpaşa,Tunisia
Yohan Benalouane,DF,28 March 1987,3,0,Leicester City,Tunisia
Yassine Meriah,DF,2 July 1993,15,1,CS Sfaxien,Tunisia
Oussama Haddadi,DF,28 January 1992,8,0,Dijon,Tunisia
Rami Bedoui,DF,19 January 1990,8,0,Étoile du Sahel,Tunisia
Saîf-Eddine Khaoui,FW,27 April 1995,4,0,Troyes,Tunisia
Fakhreddine Ben Youssef,FW,23 June 1991,38,5,Al-Ettifaq,Tunisia
Anice Badri,MF,18 September 1990,6,2,Espérance,Tunisia
Wahbi Khazri,FW,8 February 1991,35,12,Rennes,Tunisia
Dylan Bronn,DF,19 June 1995,4,0,Gent,Tunisia
Ali Maâloul,DF,1 January 1990,45,0,Al Ahly,Tunisia
Ferjani Sassi,MF,18 March 1992,38,3,Al-Nassr,Tunisia
Mohamed Amine Ben Amor,MF,3 May 1992,25,1,Al-Ahli,Tunisia
Ahmed Khalil,FW,21 December 1994,3,0,Club Africain,Tunisia
Aymen Mathlouthi (captain),GK,14 September 1984,69,0,Al-Batin,Tunisia
Ellyes Skhiri,MF,10 May 1995,4,0,Montpellier,Tunisia
Bassem Srarfi,FW,25 June 1997,4,0,Nice,Tunisia
Saber Khalifa,FW,14 October 1986,43,7,Club Africain,Tunisia
Ghailene Chaalali,FW,28 February 1994,6,1,Espérance,Tunisia
Hamdi Nagguez,DF,28 October 1992,15,0,Zamalek,Tunisia
Mouez Hassen,GK,5 March 1995,3,0,Châteauroux,Tunisia
Naïm Sliti,FW,27 July 1992,16,3,Dijon,Tunisia
David Ospina,GK,31 August 1988,86,0,Arsenal,Colombia
Cristián Zapata,DF,30 September 1986,55,2,Milan,Colombia
Óscar Murillo,DF,18 April 1988,13,0,Pachuca,Colombia
Santiago Arias,DF,13 January 1992,41,0,PSV Eindhoven,Colombia
Wílmar Barrios,MF,16 October 1993,10,0,Boca Juniors,Colombia
Carlos Sánchez,MF,6 February 1986,85,0,Espanyol,Colombia
Carlos Bacca,FW,8 September 1986,45,14,Villarreal,Colombia
Abel Aguilar,MF,6 January 1985,70,7,Deportivo Cali,Colombia
Radamel Falcao (captain),FW,10 February 1986,73,29,Monaco,Colombia
James Rodríguez,MF,12 July 1991,63,21,Bayern Munich,Colombia
Juan Cuadrado,MF,26 May 1988,70,7,Juventus,Colombia
Camilo Vargas,GK,9 March 1989,5,0,Deportivo Cali,Colombia
Yerry Mina,DF,23 September 1994,12,3,Barcelona,Colombia
Luis Muriel,FW,16 April 1991,18,2,Sevilla,Colombia
Mateus Uribe,MF,21 March 1991,8,0,América,Colombia
Jefferson Lerma,MF,25 October 1994,5,0,Levante,Colombia
Johan Mojica,DF,21 August 1992,4,1,Girona,Colombia
Frank Fabra,DF,22 February 1991,19,1,Boca Juniors,Colombia
Miguel Borja,FW,26 January 1993,7,2,Palmeiras,Colombia
Juan Fernando Quintero,MF,18 January 1993,15,2,River Plate,Colombia
José Izquierdo,FW,7 July 1992,5,1,Brighton & Hove Albion,Colombia
José Fernando Cuadrado,GK,1 June 1985,1,0,Once Caldas,Colombia
Dávinson Sánchez,DF,12 June 1996,9,0,Tottenham Hotspur,Colombia
Eiji Kawashima,GK,20 March 1983,84,0,Metz,Japan
Naomichi Ueda,DF,24 October 1994,3,0,Kashima Antlers,Japan
Gen Shoji,DF,11 December 1992,10,1,Kashima Antlers,Japan
Keisuke Honda,MF,13 June 1986,95,36,Pachuca,Japan
Yuto Nagatomo,DF,12 September 1986,105,3,Galatasaray,Japan
Wataru Endo,DF,9 February 1993,11,0,Urawa Red Diamonds,Japan
Gaku Shibasaki,MF,28 May 1992,17,3,Getafe,Japan
Genki Haraguchi,MF,9 May 1991,32,6,Fortuna Düsseldorf,Japan
Shinji Okazaki,FW,16 April 1986,112,50,Leicester City,Japan
Shinji Kagawa,MF,17 March 1989,91,29,Borussia Dortmund,Japan
Takashi Usami,MF,6 May 1992,23,3,Fortuna Düsseldorf,Japan
Masaaki Higashiguchi,GK,12 May 1986,4,0,Gamba Osaka,Japan
Yoshinori Mutō,FW,15 July 1992,23,2,Mainz 05,Japan
Takashi Inui,MF,2 June 1988,26,2,Eibar,Japan
Yuya Osako,FW,18 May 1990,28,7,1. FC Köln,Japan
Hotaru Yamaguchi,MF,6 October 1990,41,2,Cerezo Osaka,Japan
Makoto Hasebe (captain),MF,18 January 1984,110,2,Eintracht Frankfurt,Japan
Ryota Oshima,MF,23 January 1993,5,0,Kawasaki Frontale,Japan
Hiroki Sakai,DF,12 April 1990,42,0,Marseille,Japan
Tomoaki Makino,DF,11 May 1987,32,4,Urawa Red Diamonds,Japan
Gōtoku Sakai,DF,14 March 1991,40,0,Hamburger SV,Japan
Maya Yoshida,DF,24 August 1988,82,10,Southampton,Japan
Kosuke Nakamura,GK,27 February 1995,3,0,Kashiwa Reysol,Japan
Wojciech Szczęsny,GK,18 April 1990,34,0,Juventus,Poland
Michał Pazdan,DF,21 September 1987,32,0,Legia Warsaw,Poland
Artur Jędrzejczyk,DF,4 November 1987,35,3,Legia Warsaw,Poland
Thiago Cionek,DF,21 April 1986,18,0,SPAL,Poland
Jan Bednarek,DF,12 April 1996,2,0,Southampton,Poland
Jacek Góralski,MF,21 September 1992,4,0,Ludogorets Razgrad,Poland
Arkadiusz Milik,FW,28 February 1994,39,12,Napoli,Poland
Karol Linetty,MF,2 February 1995,20,1,Sampdoria,Poland
Robert Lewandowski (captain),FW,21 August 1988,94,53,Bayern Munich,Poland
Grzegorz Krychowiak,MF,29 January 1990,50,2,West Bromwich Albion,Poland
Kamil Grosicki,MF,8 June 1988,57,12,Hull City,Poland
Bartosz Białkowski,GK,6 July 1987,1,0,Ipswich Town,Poland
Maciej Rybus,MF,19 August 1989,50,2,Lokomotiv Moscow,Poland
Łukasz Teodorczyk,FW,3 June 1991,16,4,Anderlecht,Poland
Kamil Glik,DF,3 February 1988,57,4,Monaco,Poland
Jakub Błaszczykowski,MF,14 December 1985,98,19,VfL Wolfsburg,Poland
Sławomir Peszko,MF,19 February 1985,43,2,Lechia Gdańsk,Poland
Bartosz Bereszyński,DF,12 July 1992,7,0,Sampdoria,Poland
Piotr Zieliński,MF,20 May 1994,32,5,Napoli,Poland
Łukasz Piszczek,DF,3 June 1985,62,3,Borussia Dortmund,Poland
Rafał Kurzawa,MF,29 January 1993,3,0,Górnik Zabrze,Poland
Łukasz Fabiański,GK,18 April 1985,44,0,Swansea City,Poland
Dawid Kownacki,FW,14 March 1997,1,0,Sampdoria,Poland
Abdoulaye Diallo,GK,30 March 1992,17,0,Rennes,Senegal
Saliou Ciss,DF,15 June 1989,18,0,Valenciennes,Senegal
Kalidou Koulibaly,DF,20 June 1991,25,0,Napoli,Senegal
Kara Mbodji,DF,22 November 1989,52,5,Anderlecht,Senegal
Idrissa Gueye,MF,26 September 1989,60,1,Everton,Senegal
Salif Sané,MF,25 August 1990,21,0,Hannover 96,Senegal
Moussa Sow,FW,19 January 1986,51,18,Bursaspor,Senegal
Cheikhou Kouyaté (captain),MF,21 December 1989,47,2,West Ham United,Senegal
Mame Biram Diouf,FW,16 December 1987,48,10,Stoke City,Senegal
Sadio Mané,FW,10 April 1992,52,14,Liverpool,Senegal
Cheikh N'Doye,MF,29 March 1986,25,3,Birmingham City,Senegal
Youssouf Sabaly,DF,5 March 1993,4,0,Bordeaux,Senegal
Alfred N'Diaye,MF,6 March 1990,20,0,Wolverhampton Wanderers,Senegal
Moussa Konaté,FW,3 April 1993,27,9,Amiens,Senegal
Diafra Sakho,FW,24 December 1989,11,3,Rennes,Senegal
Khadim N'Diaye,GK,5 April 1985,25,0,Horoya,Senegal
Badou Ndiaye,MF,27 October 1990,19,1,Stoke City,Senegal
Ismaïla Sarr,FW,25 February 1998,15,3,Rennes,Senegal
M'Baye Niang,FW,19 December 1994,6,0,Torino,Senegal
Keita Baldé,FW,8 March 1995,18,3,Monaco,Senegal
Lamine Gassama,DF,20 October 1989,36,0,Alanyaspor,Senegal
Moussa Wagué,DF,4 October 1998,9,0,Eupen,Senegal
Alfred Gomis,GK,5 September 1993,1,0,SPAL,Senegal
