,Player,Club,Club1
0,Essam El-Hadary (captain),Al Taawoun,Al-Taawoun
1,Ali Gabr,West Bromwich Albion,West Bromwich Albion
2,Ahmed Elmohamady,Aston Villa,Aston Villa
3,Omar Gaber,Rio Ave FC,Los Angeles FC
4,Sam Morsy,Wigan Athletic,Wigan Athletic
5,Ahmed Hegazi,West Bromwich Albion,West Bromwich Albion
6,Ahmed Fathy,Al Ahli,Al Ahly
7,Tarek Hamed,Parma,Zamalek
8,Marwan Mohsen,Al Ahli,Al Ahly
9,Mohamed Salah,Liverpool,Liverpool
10,Kahraba,Al Ittihad,Al-Ittihad
11,Ayman Ashraf,Al Ahli,Al Ahly
12,Mohamed Abdel-Shafy,Al Fateh,Al-Fateh
13,Ramadan Sobhi,Stoke City,Stoke City
14,Mahmoud Hamdy,Parma,Zamalek
15,Sherif Ekramy,Al Ahli,Al Ahly
16,Mohamed Elneny,Arsenal,Arsenal
17,Shikabala,Al Raed,Al-Raed
18,Abdallah Said,KAS Eupen,KuPS
19,Saad Samir,Al Ahli,Al Ahly
20,Trézéguet,Kasimpaşa SK,Kasımpaşa
21,Amr Warda,Portsmouth,Atromitos
22,Mohamed El-Shenawy,Al Ahli,Al Ahly
23,Igor Akinfeev (captain),CSKA Moscow,CSKA Moscow
24,Mário Fernandes,CSKA Moscow,CSKA Moscow
25,Ilya Kutepov,Spartak Moscow,Spartak Moscow
26,Sergei Ignashevich,CSKA Moscow,CSKA Moscow
27,Andrei Semyonov,Terek Grozny,Akhmat Grozny
28,Denis Cheryshev,Villarreal CF,Villarreal
29,Daler Kuzyayev,Zenit St. Petersburg,Zenit Saint Petersburg
30,Yury Gazinsky,FC Krasnodar,Krasnodar
31,Alan Dzagoev,CSKA Moscow,CSKA Moscow
32,Fyodor Smolov,FC Krasnodar,Krasnodar
33,Roman Zobnin,Spartak Moscow,Spartak Moscow
34,Andrey Lunyov,Zenit St. Petersburg,Zenit Saint Petersburg
35,Fyodor Kudryashov,Rubin Kazan,Rubin Kazan
36,Vladimir Granat,Rubin Kazan,Rubin Kazan
37,Aleksei Miranchuk,Lokomotiv Moscow,Lokomotiv Moscow
38,Anton Miranchuk,Lokomotiv Moscow,Lokomotiv Moscow
39,Aleksandr Golovin,CSKA Moscow,CSKA Moscow
40,Yuri Zhirkov,Zenit St. Petersburg,Zenit Saint Petersburg
41,Aleksandr Samedov,Spartak Moscow,Spartak Moscow
42,Vladimir Gabulov,Club Brugge KV,Club Brugge
43,Aleksandr Yerokhin,Zenit St. Petersburg,Zenit Saint Petersburg
44,Artem Dzyuba,Arsenal Tula,Arsenal Tula
45,Igor Smolnikov,Zenit St. Petersburg,Zenit Saint Petersburg
46,Abdullah Al-Mayouf,Al Hilal,Al-Hilal
47,Mansoor Al-Harbi,Al Ahli,Al-Ahli
48,Osama Hawsawi (captain),Al Hilal,Al-Hilal
49,Ali Al-Bulaihi,Al Hilal,Al-Hilal
50,Omar Hawsawi,Al Nassr,Al-Nassr
51,Mohammed Al-Breik,Al Hilal,Al-Hilal
52,Salman Al-Faraj,Al Hilal,Al-Hilal
53,Yahya Al-Shehri,CD Leganés,Leganés
54,Hattan Bahebri,Al Shabab,Al-Shabab
55,Mohammad Al-Sahlawi,Al Nassr,Al-Nassr
56,Abdulmalek Al-Khaibri,Al Hilal,Al-Hilal
57,Mohamed Kanno,Al Hilal,Al-Hilal
58,Yasser Al-Shahrani,Al Hilal,Al-Hilal
59,Abdullah Otayf,Al Hilal,Al-Hilal
60,Abdullah Al-Khaibari,Al Shabab,Al-Shabab
61,Housain Al-Mogahwi,Al Ahli,Al-Ahli
62,Taisir Al-Jassim,Al Ahli,Al-Ahli
63,Salem Al-Dawsari,Villarreal CF,Villarreal
64,Fahad Al-Muwallad,Levante UD,Levante
65,Muhannad Assiri,Al Ahli,Al-Ahli
66,Yasser Al-Mosailem,Al Ahli,Al-Ahli
67,Mohammed Al-Owais,Al Ahli,Al-Ahli
68,Motaz Hawsawi,Al Ahli,Al-Ahli
69,Fernando Muslera,Galatasaray SK,Galatasaray
70,José Giménez,Atlético Madrid,Atlético Madrid
71,Diego Godín (captain),Atlético Madrid,Atlético Madrid
72,Guillermo Varela,Palermo,Peñarol
73,Carlos Sánchez,Monterrey,Monterrey
74,Rodrigo Bentancur,Juventus,Juventus
75,Cristian Rodríguez,Palermo,Peñarol
76,Nahitan Nández,Boca Juniors,Boca Juniors
77,Luis Suárez,FC Barcelona,Barcelona
78,Giorgian De Arrascaeta,Cruzeiro,Cruzeiro
79,Cristhian Stuani,Girona CF,Girona
80,Martín Campaña,Independiente,Independiente
81,Gastón Silva,Independiente,Independiente
82,Lucas Torreira,Sampdoria,Sampdoria
83,Matías Vecino,Inter,Inter Milan
84,Maxi Pereira,FC Porto,Porto
85,Diego Laxalt,Genoa,Genoa
86,Maxi Gómez,RC Celta de Vigo,Celta Vigo
87,Sebastián Coates,Sporting CP,Sporting CP
88,Jonathan Urretaviscaya,Monterrey,Monterrey
89,Edinson Cavani,Paris Saint-Germain,Paris Saint-Germain
90,Martín Cáceres,Lazio,Lazio
91,Martín Silva,Sociedade Esportiva Palmeiras,Vasco da Gama
92,Alireza Beiranvand,Vercelli,Persepolis
93,Mehdi Torabi,Salernitana,Saipa
94,Ehsan Hajsafi,Olympiakos CFP,Olympiacos
95,Rouzbeh Cheshmi,Estoril Praia,Esteghlal
96,Milad Mohammadi,Terek Grozny,Akhmat Grozny
97,Saeid Ezatolahi,Amkar Perm,Amkar Perm
98,Masoud Shojaei (captain),AEK Athens,AEK Athens
99,Morteza Pouraliganji,Al Raed,Al-Sadd
100,Omid Ebrahimi,Estoril Praia,Esteghlal
101,Karim Ansarifard,Olympiakos CFP,Olympiacos
102,Vahid Amiri,Vercelli,Persepolis
103,Mohammad Rashid Mazaheri,Arsenal de Sarandí,Zob Ahan Esfahan
104,Mohammad Reza Khanzadeh,Al Qadisiyah,Padideh
105,Saman Ghoddos,Östersunds FK,Östersund
106,Pejman Montazeri,Estoril Praia,Esteghlal
107,Reza Ghoochannejhad,SC Heerenveen,Heerenveen
108,Mehdi Taremi,Al Shabab,Al-Gharafa
109,Alireza Jahanbakhsh,AZ Alkmaar,AZ
110,Majid Hosseini,Estoril Praia,Esteghlal
111,Sardar Azmoun,Rubin Kazan,Rubin Kazan
112,Ashkan Dejagah,Nottingham Forest,Nottingham Forest
113,Amir Abedzadeh,CS Marítimo,Marítimo
114,Ramin Rezaeian,KV Oostende,Oostende
115,Yassine Bounou,Girona CF,Girona
116,Achraf Hakimi,Real Madrid CF,Real Madrid
117,Hamza Mendyl,Lillestrøm SK,Lille
118,Manuel da Costa,İstanbul Başakşehir FK,İstanbul Başakşehir
119,Medhi Benatia (captain),Juventus,Juventus
120,Romain Saïss,Wolverhampton Wanderers,Wolverhampton Wanderers
121,Hakim Ziyech,Ajax,Ajax
122,Karim El Ahmadi,Feyenoord,Feyenoord
123,Ayoub El Kaabi,SK Brann,RS Berkane
124,Younès Belhanda,Galatasaray SK,Galatasaray
125,Fayçal Fajr,Getafe CF,Getafe
126,Munir Mohamedi,CD Numancia,Numancia
127,Khalid Boutaïb,Evkur Yeni Malatyaspor,Yeni Malatyaspor
128,Mbark Boussoufa,Al Faisaly,Al-Jazira
129,Youssef Aït Bennasser,FC Bayern Munich,Caen
130,Nordin Amrabat,CD Leganés,Leganés
131,Nabil Dirar,Fenerbahçe SK,Fenerbahçe
132,Amine Harit,FC Schalke 04,Schalke 04
133,Youssef En-Nesyri,Málaga CF,Málaga
134,Aziz Bouhaddouz,FC St. Pauli,FC St. Pauli
135,Sofyan Amrabat,Feyenoord,Feyenoord
136,Ahmed Reda Tagnaouti,Rangers,IR Tanger
137,Mehdi Carcela,Standard de Liège,Standard Liège
138,Rui Patrício,Sporting CP,Sporting CP
139,Bruno Alves,Rangers,Rangers
140,Pepe,Beşiktaş JK,Beşiktaş
141,Manuel Fernandes,Lokomotiv Moscow,Lokomotiv Moscow
142,Raphaël Guerreiro,Borussia Dortmund,Borussia Dortmund
143,José Fonte,Atalanta,Dalian Yifang
144,Cristiano Ronaldo (captain),Real Madrid CF,Real Madrid
145,João Moutinho,AS Monaco,Monaco
146,André Silva,Milan,Milan
147,João Mário,West Ham United,West Ham United
148,Bernardo Silva,Manchester City,Manchester City
149,Anthony Lopes,Lyngby BK,Lyon
150,Rúben Dias,SL Benfica,Benfica
151,William Carvalho,Sporting CP,Sporting CP
152,Ricardo Pereira,FC Porto,Porto
153,Bruno Fernandes,Sporting CP,Sporting CP
154,Gonçalo Guedes,Valencia CF,Valencia
155,Gelson Martins,Sporting CP,Sporting CP
156,Mário Rui,Napoli,Napoli
157,Ricardo Quaresma,Beşiktaş JK,Beşiktaş
158,Cédric,Southampton,Southampton
159,Beto,Göztepe,Göztepe
160,Adrien Silva,Leicester City,Leicester City
161,David de Gea,Manchester United,Manchester United
162,Dani Carvajal,Real Madrid CF,Real Madrid
163,Gerard Piqué,FC Barcelona,Barcelona
164,Nacho,Real Madrid CF,Real Madrid
165,Sergio Busquets,FC Barcelona,Barcelona
166,Andrés Iniesta,FC Barcelona,Barcelona
167,Saúl,Atlético Madrid,Atlético Madrid
168,Koke,Atlético Madrid,Atlético Madrid
169,Rodrigo,Valencia CF,Valencia
170,Thiago,FC Bayern Munich,Bayern Munich
171,Lucas Vázquez,Real Madrid CF,Real Madrid
172,Álvaro Odriozola,Real Sociedad,Real Sociedad
173,Kepa Arrizabalaga,Athletic Club de Bilbao,Athletic Bilbao
174,César Azpilicueta,Chelsea,Chelsea
175,Sergio Ramos (captain),Real Madrid CF,Real Madrid
176,Nacho Monreal,Arsenal,Arsenal
177,Iago Aspas,RC Celta de Vigo,Celta Vigo
178,Jordi Alba,FC Barcelona,Barcelona
179,Diego Costa,Atlético Madrid,Atlético Madrid
180,Marco Asensio,Real Madrid CF,Real Madrid
181,David Silva,Manchester City,Manchester City
182,Isco,Real Madrid CF,Real Madrid
183,Pepe Reina,Napoli,Napoli
184,Mathew Ryan,Brighton & Hove Albion,Brighton & Hove Albion
185,Milos Degenek,Yokohama F. Marinos,Yokohama F. Marinos
186,James Meredith,Millwall,Millwall
187,Tim Cahill,Millwall,Millwall
188,Mark Milligan,Al Ahli,Al-Ahli
189,Matthew Jurman,Suwon Samsung Bluewings,Suwon Samsung Bluewings
190,Mathew Leckie,Hertha BSC Berlin,Hertha BSC
191,Massimo Luongo,Queens Park Rangers,Queens Park Rangers
192,Tomi Juric,FC Luzern,Luzern
193,Robbie Kruse,VfL Bochum,VfL Bochum
194,Andrew Nabbout,Urawa Red Diamonds,Urawa Red Diamonds
195,Brad Jones,Feyenoord,Feyenoord
196,Aaron Mooy,Huddersfield Town,Huddersfield Town
197,Jamie Maclaren,Hibernian,Hibernian
198,Mile Jedinak (captain),Aston Villa,Aston Villa
199,Aziz Behich,Bursaspor,Bursaspor
200,Daniel Arzani,Melbourne City,Melbourne City
201,Danny Vukovic,Genoa,Genk
202,Josh Risdon,Western Sydney Wanderers,Western Sydney Wanderers
203,Trent Sainsbury,Grasshopper Club Zürich,Grasshoppers
204,Dimitri Petratos,Newcastle Jets,Newcastle Jets
205,Jackson Irvine,Hull City,Hull City
206,Tom Rogic,Celtic,Celtic
207,Kasper Schmeichel,Leicester City,Leicester City
208,Michael Krohn-Dehli,RC Deportivo de La Coruña,Deportivo La Coruña
209,Jannik Vestergaard,Borussia Mönchengladbach,Borussia Mönchengladbach
210,Simon Kjær (captain),Sevilla FC,Sevilla
211,Jonas Knudsen,Ipswich Town,Ipswich Town
212,Andreas Christensen,Chelsea,Chelsea
213,William Kvist,FC København,Copenhagen
214,Thomas Delaney,Werder Bremen II,Werder Bremen
215,Nicolai Jørgensen,Feyenoord,Feyenoord
216,Christian Eriksen,Tottenham Hotspur,Tottenham Hotspur
217,Martin Braithwaite,Tondela,Bordeaux
218,Kasper Dolberg,Ajax,Ajax
219,Mathias Jørgensen,Huddersfield Town,Huddersfield Town
220,Henrik Dalsgaard,Brentford,Brentford
221,Viktor Fischer,FC København,Copenhagen
222,Jonas Lössl,Huddersfield Town,Huddersfield Town
223,Jens Stryger Larsen,Udinese,Udinese
224,Lukas Lerager,Tondela,Bordeaux
225,Lasse Schöne,Ajax,Ajax
226,Yussuf Poulsen,RB Leipzig,RB Leipzig
227,Andreas Cornelius,Atalanta,Atalanta
228,Frederik Rønnow,Brøndby IF,Brøndby
229,Pione Sisto,RC Celta de Vigo,Celta Vigo
230,Hugo Lloris (captain),Tottenham Hotspur,Tottenham Hotspur
231,Benjamin Pavard,VfB Stuttgart,VfB Stuttgart
232,Presnel Kimpembe,Paris Saint-Germain,Paris Saint-Germain
233,Raphaël Varane,Real Madrid CF,Real Madrid
234,Samuel Umtiti,FC Barcelona,Barcelona
235,Paul Pogba,Manchester United,Manchester United
236,Antoine Griezmann,Atlético Madrid,Atlético Madrid
237,Thomas Lemar,AS Monaco,Monaco
238,Olivier Giroud,Chelsea,Chelsea
239,Kylian Mbappé,Paris Saint-Germain,Paris Saint-Germain
240,Ousmane Dembélé,FC Barcelona,Barcelona
241,Corentin Tolisso,FC Bayern Munich,Bayern Munich
242,N'Golo Kanté,Chelsea,Chelsea
243,Blaise Matuidi,Juventus,Juventus
244,Steven Nzonzi,Sevilla FC,Sevilla
245,Steve Mandanda,Carlisle United,Marseille
246,Adil Rami,Carlisle United,Marseille
247,Nabil Fekir,Lyngby BK,Lyon
248,Djibril Sidibé,AS Monaco,Monaco
249,Florian Thauvin,Carlisle United,Marseille
250,Lucas Hernández,Atlético Madrid,Atlético Madrid
251,Benjamin Mendy,Manchester City,Manchester City
252,Alphonse Areola,Paris Saint-Germain,Paris Saint-Germain
253,Pedro Gallese,Vercelli,Veracruz
254,Alberto Rodríguez,Atlético Huila,Atlético Junior
255,Aldo Corzo,Universidad Católica,Universitario
256,Anderson Santamaría,Puebla,Puebla
257,Miguel Araujo,Alianza Petrolera,Alianza Lima
258,Miguel Trauco,Fulham,Flamengo
259,Paolo Hurtado,Vitória Guimarães,Vitória de Guimarães
260,Christian Cueva,São Paulo Futebol Clube,São Paulo
261,Paolo Guerrero (captain),Fulham,Flamengo
262,Jefferson Farfán,Lokomotiv Moscow,Lokomotiv Moscow
263,Raúl Ruidíaz,Morecambe,Morelia
264,Carlos Cáceda,Deportivo Toluca,Deportivo Municipal
265,Renato Tapia,Feyenoord,Feyenoord
266,Andy Polo,Portland Timbers,Portland Timbers
267,Christian Ramos,Vercelli,Veracruz
268,Wilder Cartagena,Vercelli,Veracruz
269,Luis Advíncula,Lobos de la BUAP,Lobos BUAP
270,André Carrillo,Watford,Watford
271,Yoshimar Yotún,Orlando City Soccer Club,Orlando City
272,Edison Flores,Albacete Balompié,AaB
273,José Carvallo,Torino,UTC
274,Nilson Loyola,Milan,Melgar
275,Pedro Aquino,Lobos de la BUAP,Lobos BUAP
276,Nahuel Guzmán,AS Nancy Lorraine,UANL
277,Gabriel Mercado,Sevilla FC,Sevilla
278,Nicolás Tagliafico,Ajax,Ajax
279,Cristian Ansaldi,Torino,Torino
280,Lucas Biglia,Milan,Milan
281,Federico Fazio,Roma,Roma
282,Éver Banega,Sevilla FC,Sevilla
283,Marcos Acuña,Sporting CP,Sporting CP
284,Gonzalo Higuaín,Juventus,Juventus
285,Lionel Messi (captain),FC Barcelona,Barcelona
286,Ángel Di María,Paris Saint-Germain,Paris Saint-Germain
287,Franco Armani,River Plate,River Plate
288,Maximiliano Meza,Independiente,Independiente
289,Javier Mascherano,Atlético Clube Goianiense,Hebei China Fortune
290,Manuel Lanzini,West Ham United,West Ham United
291,Marcos Rojo,Manchester United,Manchester United
292,Nicolás Otamendi,Manchester City,Manchester City
293,Eduardo Salvio,SL Benfica,Benfica
294,Sergio Agüero,Manchester City,Manchester City
295,Giovani Lo Celso,Paris Saint-Germain,Paris Saint-Germain
296,Paulo Dybala,Juventus,Juventus
297,Cristian Pavón,Boca Juniors,Boca Juniors
298,Willy Caballero,Chelsea,Chelsea
299,Dominik Livaković,Dinamo Moscow,Dinamo Zagreb
300,Šime Vrsaljko,Atlético Madrid,Atlético Madrid
301,Ivan Strinić,Sampdoria,Sampdoria
302,Ivan Perišić,Inter,Inter Milan
303,Vedran Ćorluka,Lokomotiv Moscow,Lokomotiv Moscow
304,Dejan Lovren,Liverpool,Liverpool
305,Ivan Rakitić,FC Barcelona,Barcelona
306,Mateo Kovačić,Real Madrid CF,Real Madrid
307,Andrej Kramarić,TSG 1899 Hoffenheim,1899 Hoffenheim
308,Luka Modrić (captain),Real Madrid CF,Real Madrid
309,Marcelo Brozović,Inter,Inter Milan
310,Lovre Kalinić,Genoa,Gent
311,Tin Jedvaj,Bayer 04 Leverkusen,Bayer Leverkusen
312,Filip Bradarić,River Plate,Rijeka
313,Duje Ćaleta-Car,FC Red Bull Salzburg,Red Bull Salzburg
314,Nikola Kalinić,Milan,Milan
315,Mario Mandžukić,Juventus,Juventus
316,Ante Rebić,Eintracht Frankfurt,Eintracht Frankfurt
317,Milan Badelj,Fiorentina,Fiorentina
318,Marko Pjaca,FC Schalke 04,Schalke 04
319,Domagoj Vida,Beşiktaş JK,Beşiktaş
320,Josip Pivarić,Dinamo Moscow,Dynamo Kyiv
321,Danijel Subašić,AS Monaco,Monaco
322,Hannes Þór Halldórsson,Rangers,Randers
323,Birkir Már Sævarsson,Palermo,Valur
324,Samúel Friðjónsson,Vålerenga Fotball,Vålerenga
325,Albert Guðmundsson,PSV,PSV Eindhoven
326,Sverrir Ingi Ingason,FC Rostov,Rostov
327,Ragnar Sigurðsson,FC Rostov,Rostov
328,Jóhann Berg Guðmundsson,Burnley,Burnley
329,Birkir Bjarnason,Aston Villa,Aston Villa
330,Björn Bergmann Sigurðarson,FC Rostov,Rostov
331,Gylfi Sigurðsson,Everton,Everton
332,Alfreð Finnbogason,FC Augsburg,FC Augsburg
333,Frederik Schram,Rochdale,Roskilde
334,Rúnar Alex Rúnarsson,FC Nordsjælland,Nordsjælland
335,Kári Árnason,Aberdeen,Aberdeen
336,Hólmar Örn Eyjólfsson,Brescia,Levski Sofia
337,Ólafur Ingi Skúlason,Kardemir Karabükspor,Kardemir Karabükspor
338,Aron Gunnarsson (captain),Cardiff City,Cardiff City
339,Hörður Björgvin Magnússon,Bristol City,Bristol City
340,Rúrik Gíslason,SV Sandhausen,SV Sandhausen
341,Emil Hallfreðsson,Udinese,Udinese
342,Arnór Ingvi Traustason,Malmö FF,Malmö
343,Jón Daði Böðvarsson,Reading,Reading
344,Ari Freyr Skúlason,Aberdeen,Lokeren
345,Ikechukwu Ezenwa,SD Eibar,Enyimba
346,Brian Idowu,Amkar Perm,Amkar Perm
347,Elderson Echiéjilé,FC Erzgebirge Aue,Cercle Brugge
348,Wilfred Ndidi,Leicester City,Leicester City
349,William Troost-Ekong,Bursaspor,Bursaspor
350,Leon Balogun,Milan,Mainz 05
351,Ahmed Musa,CSKA Moscow,CSKA Moscow
352,Oghenekaro Etebo,UD Las Palmas,Las Palmas
353,Odion Ighalo,Chacarita Juniors,Changchun Yatai
354,John Obi Mikel (captain),Milan,Tianjin TEDA
355,Victor Moses,Chelsea,Chelsea
356,Shehu Abdullahi,Bursaspor,Bursaspor
357,Simeon Nwankwo,Crotone,Crotone
358,Kelechi Iheanacho,Leicester City,Leicester City
359,Joel Obi,Torino,Torino
360,Daniel Akpeyi,Galway United,Chippa United
361,Ogenyi Onazi,Trabzonspor,Trabzonspor
362,Alex Iwobi,Arsenal,Arsenal
363,John Ogu,Napoli,Hapoel Be'er Sheva
364,Chidozie Awaziem,FC Nantes,Nantes
365,Tyronne Ebuehi,ADO Den Haag,ADO Den Haag
366,Kenneth Omeruo,Kasimpaşa SK,Kasımpaşa
367,Francis Uzoho,RC Deportivo de La Coruña,Deportivo La Coruña
368,Alisson,Roma,Roma
369,Thiago Silva,Paris Saint-Germain,Paris Saint-Germain
370,Miranda,Inter,Inter Milan
371,Pedro Geromel,Grêmio Foot-Ball Porto Alegrense,Grêmio
372,Casemiro,Real Madrid CF,Real Madrid
373,Filipe Luís,Atlético Madrid,Atlético Madrid
374,Douglas Costa,Juventus,Juventus
375,Renato Augusto,Amiens SC Football,Beijing Sinobo Guoan
